step,price,amount,trade_type,reward
3,0.4414949417114258,58.927734375,buy,4.96584017578125
5,-0.9987902641296387,-99.99894714355469,sell,12.694866339874268
16,0.806699275970459,51.64137268066406,buy,10.538454922943115
17,-0.08228510618209839,-67.51811218261719,sell,21.78066780899048
48,0.6858248710632324,59.907989501953125,buy,8.386519450378419
49,-0.9100927710533142,-93.65769958496094,sell,9.680459829101562
51,0.8180040121078491,80.7650146484375,buy,7.195355155029297
52,-0.9781326651573181,-97.85699462890625,sell,10.754483709716796
53,0.812516450881958,89.05183410644531,buy,7.361915125579833
54,-0.9965513348579407,-99.8191146850586,sell,17.76780241394043
55,0.6114504337310791,63.08454895019531,buy,14.272248354492188
60,0.634453296661377,71.92916870117188,buy,2.605993782043457
61,-0.9778741598129272,-98.51248168945312,sell,0.38518380340576175
62,0.6467816829681396,68.03680419921875,buy,0.025853985595703125
63,-0.9542573690414429,-98.53582763671875,sell,1.2277564123535156
64,0.6148614883422852,40.35990905761719,buy,2.4147333589172364
65,0.7791211605072021,79.90164184570312,buy,8.983341592712403
66,-0.9945527911186218,-98.40486907958984,sell,18.081894693374633
67,0.7986773252487183,60.579254150390625,buy,10.302107960815428
68,0.3483254909515381,13.979957580566406,buy,1.5169651970672606
69,-0.5670740604400635,-62.329429626464844,sell,3.979110787353515
70,0.7020833492279053,44.0401611328125,buy,2.8150470996093753
72,0.8526248931884766,73.51676940917969,buy,0.06837059555053711
73,-0.9565414190292358,-98.72347259521484,sell,0.03850215431213379
74,0.607332706451416,69.43122863769531,buy,0.006943122863769532
78,-0.05770468711853027,-95.4492416381836,sell,8.599976671600341
79,0.8011249303817749,89.5548095703125,buy,13.262171749267578
81,-0.3948373794555664,-90.99776458740234,sell,6.6401068819427485
83,-0.16825950145721436,-15.502349853515625,sell,0.14308668914794923
84,-0.41672563552856445,-62.66856384277344,sell,0.5351895352172789
85,-0.17477327585220337,-68.96668243408203,sell,0.6234588092041016
88,0.662851095199585,25.0797119140625,buy,1.8220410705566408
89,0.816509485244751,47.732818603515625,buy,9.108853774108887
90,0.8514659404754639,60.820281982421875,buy,18.08004522491455
91,-0.41861236095428467,-87.23234558105469,sell,31.410622996826174
98,0.8962247371673584,62.61895751953125,buy,9.12546067932129
113,0.7718403339385986,78.69279479980469,buy,16.154056916503905
114,0.4180634021759033,18.750511169433594,buy,4.735629100952148
115,0.4879145622253418,75.96600341796875,buy,21.989879009399413
116,-0.9990925788879395,-99.9996337890625,sell,19.756927647705076
117,-0.9998382925987244,-99.99858093261719,sell,15.501780016174315
118,0.45230746269226074,82.65946960449219,buy,14.00995350326538
119,-0.9991150498390198,-99.96894836425781,sell,12.199210768890381
120,0.792599081993103,52.784271240234375,buy,6.931630499267578
121,0.005810737609863281,-64.07943725585938,sell,7.347989070129394
124,0.7871242761611938,13.612762451171875,buy,1.6333953665161132
125,0.8881387710571289,10.680938720703125,buy,1.3890560806274415
131,0.8709982633590698,29.794937133789062,buy,3.1591571842956543
132,0.5386829376220703,19.878089904785156,buy,1.3588662258911133
133,0.433910608291626,42.552642822265625,buy,2.1097600311279296
134,-0.08858233690261841,-58.194881439208984,sell,2.6717270068740846
140,-0.02006620168685913,-68.90894317626953,sell,15.845611483383179
148,0.8104590177536011,26.93903350830078,buy,3.8239958065032957
152,0.7299838066101074,11.599479675292969,buy,2.2816176521301257
156,0.7479056119918823,71.28129577636719,buy,4.284005876159668
157,0.9186973571777344,13.487075805664062,buy,0.6959331115722657
158,0.8901740312576294,18.743988037109375,buy,1.0592227639770508
159,0.78806471824646,48.81376647949219,buy,3.909494557342529
160,0.4290454387664795,16.433921813964844,buy,2.175522569732666
161,-0.03347814083099365,-60.31233596801758,sell,11.041982469024658
163,-0.931476891040802,-99.9403305053711,sell,25.85856111495972
166,0.6623568534851074,90.35475158691406,buy,11.054903856658935
167,-0.913366436958313,-99.6712646484375,sell,9.953172487792969
170,0.598304271697998,80.4024658203125,buy,5.694906654052735
171,-0.34648597240448,-41.04253005981445,sell,2.909504955940246
172,0.9216222763061523,81.5224609375,buy,6.576416923828125
175,0.9795825481414795,64.65399169921875,buy,14.693266153564453
176,0.24820828437805176,-81.43177795410156,sell,21.69016837585449
177,0.9335691928863525,81.42001342773438,buy,17.68279851623535
178,-0.8580165505409241,-97.62342071533203,sell,16.110793120651245
180,-0.3891344666481018,-82.46278381347656,sell,11.005483127746581
192,0.8595569133758545,92.60986328125,buy,14.35452880859375
194,0.9457509517669678,71.42384338378906,buy,12.449175901794435
198,0.018561601638793945,-92.73738861083984,sell,23.553441959381104
199,0.9438314437866211,76.91036987304688,buy,23.066189028625487
200,-0.6785174608230591,-99.93748474121094,sell,34.876183424987794
207,0.8880722522735596,89.87510681152344,buy,20.245266560363767
208,-0.9533147811889648,-99.22874450683594,sell,25.695283390045166
209,0.9287514686584473,87.78118896484375,buy,28.432327105712883
210,-0.9958837628364563,-99.93865203857422,sell,44.24484003051758
211,0.9935524463653564,99.72517395019531,buy,48.34177807235718
212,-0.9876229166984558,-99.44254302978516,sell,34.968970256423944
213,0.9952011108398438,99.92294311523438,buy,29.479266677856447
214,-0.9955914616584778,-99.68162536621094,sell,26.11957629470825
215,0.9821414947509766,99.78225708007812,buy,25.797704745483397
216,-0.996083676815033,-99.5401611328125,sell,23.548215919189452
240,0.9298782348632812,96.36833190917969,buy,21.07189945526123
241,-0.9991048574447632,-99.9975814819336,sell,20.999492111206052
242,0.9018537998199463,94.57345581054688,buy,18.328335736083986
243,-0.9254105091094971,-99.55292510986328,sell,18.214203178100586
