Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
15.03. 16:00;0,099;0,093403;3,1;16,292;0,098232;5,03;86,841
15.03. 17:00;0,064;0,052333;2,9;7,9136;0,07272;4,35;54,56
15.03. 18:00;0,009;0,00891;2,9;-0,9646;0,0085761;3,13;0,59781
15.03. 19:00;0;0;2,9;-9,9317;0;2,91;0
15.03. 20:00;0;0;2,9;-18,58;0;2,9;0
15.03. 21:00;0;0;3;-26,446;0;3;0
15.03. 22:00;0;0;3;-32,956;0;3;0
15.03. 23:00;0;0;3;-37,433;0;3;0
16.03. 00:00;0;0;3,2;-38,843;0;3,19;0
16.03. 01:00;0;0;3,3;-37,65;0;3,29;0
16.03. 02:00;0;0;3,3;-33,694;0;3,3;0
16.03. 03:00;0;0;3,2;-27,566;0;3,2;0
16.03. 04:00;0;0;3,1;-19,947;0;3,11;0
16.03. 05:00;0;0;3,2;-11,43;0;3,2;0
16.03. 06:00;0;0;2,6;-2,4975;0;2,63;0
16.03. 07:00;0,072;0,036601;2,9;6,4354;0,10446;4,74;90,057
16.03. 08:00;0,211;0,071894;3,4;14,964;0,31044;9,22;295,55
16.03. 09:00;0,336;0,11121;5;22,634;0,48706;14,35;467,36
16.03. 10:00;0,453;0,12465;6,9;28,904;0,66272;19,77;627,16
16.03. 11:00;0,525;0,14042;8;33,163;0,76687;23,1;717,14
16.03. 12:00;0,565;0,13249;9,4;34,856;0,83118;25,83;770,06
16.03. 13:00;0,539;0,13684;10,9;33,722;0,78979;26,59;729,7
16.03. 14:00;0,468;0,13177;11,9;29,94;0,68277;25,53;633,72
16.03. 15:00;0,371;0,10334;11,7;24,023;0,54541;22,64;510,3
16.03. 16:00;0,185;0,12156;10,9;16,587;0,23047;15,79;211,76
16.03. 17:00;0,086;0,053676;10;8,192;0,11341;12,36;83,942
16.03. 18:00;0,011;0,01089;8,3;-0,69313;0,010482;8,7;0,94475
16.03. 19:00;0;0;6,9;-9,6574;0;6,99;0
16.03. 20:00;0;0;5,4;-18,293;0;5,48;0
16.03. 21:00;0;0;4,7;-26,137;0;4,74;0
16.03. 22:00;0;0;4,9;-32,617;0;4,89;0
16.03. 23:00;0;0;4,8;-37,063;0;4,8;0
17.03. 00:00;0;0;4,7;-38,449;0;4,7;0
17.03. 01:00;0;0;4,7;-37,248;0;4,7;0
17.03. 02:00;0;0;4,4;-33,297;0;4,42;0
17.03. 03:00;0;0;4,2;-27,181;0;4,21;0
17.03. 04:00;0;0;3,9;-19,574;0;3,92;0
17.03. 05:00;0;0;3,9;-11,065;0;3,9;0
17.03. 06:00;0;0;3,7;-2,1364;0;3,71;0
17.03. 07:00;0,025;0,024469;3,9;6,7994;0,024063;4,34;6,8664
17.03. 08:00;0,048;0,047072;3,9;15,336;0,046056;4,79;29,006
17.03. 09:00;0,087;0,08534;4,2;23,018;0,083451;5,8;71,542
17.03. 10:00;0,251;0,21594;5,3;29,3;0,26528;10,32;249,14
17.03. 11:00;0,276;0,24235;6,3;33,565;0,28738;11,91;269,02
17.03. 12:00;0,382;0,27843;8,6;35,252;0,44472;17,16;418,99
17.03. 13:00;0,447;0,24147;11,1;34,099;0,58357;22,43;546,23
17.03. 14:00;0,288;0,23363;12;30,287;0,3162;18,48;291,73
17.03. 15:00;0,17;0,15684;13,1;24,341;0,17098;16,59;152,65
17.03. 16:00;0,098;0,093247;13,3;16,881;0,096353;15,28;81,605
17.03. 17:00;0,033;0,032271;12,7;8,4697;0,031773;13,43;11,996
17.03. 18:00;0,001;0,00099;12,3;-0,42206;0,0009529;12,38;0
17.03. 19:00;0;0;12,3;-9,3833;0;12,3;0
17.03. 20:00;0;0;11,4;-18,006;0;11,45;0
17.03. 21:00;0;0;10,9;-25,827;0;10,93;0
17.03. 22:00;0;0;10,4;-32,278;0;10,43;0
17.03. 23:00;0;0;10,2;-36,693;0;10,21;0
18.03. 00:00;0;0;10;-38,056;0;10,01;0
18.03. 01:00;0;0;9,4;-36,846;0;9,43;0
18.03. 02:00;0;0;9,2;-32,9;0;9,21;0
18.03. 03:00;0;0;8,8;-26,796;0;8,82;0
18.03. 04:00;0;0;9,2;-19,201;0;9,18;0
18.03. 05:00;0;0;9,3;-10,701;0;9,29;0
18.03. 06:00;0;0;9,2;-1,7745;0;9,2;0
18.03. 07:00;0,082;0,040771;9,3;7,164;0,11409;11,33;97,754
18.03. 08:00;0,226;0,071706;10,8;15,708;0,32731;16,89;304,33
18.03. 09:00;0,275;0,17595;12;23,402;0,33972;18,62;315,84
18.03. 10:00;0,29;0,23066;13,2;29,696;0,32149;19,53;295,93
18.03. 11:00;0,312;0,25912;14,4;33,967;0,33659;21;308,21
18.03. 12:00;0,296;0,25882;15,5;35,649;0,30861;21,59;280,25
18.03. 13:00;0,089;0,086969;13,7;34,475;0,085521;15,71;70,9
18.03. 14:00;0,183;0,1747;13,1;30,635;0,17911;16,6;160,03
18.03. 15:00;0,226;0,18617;14,3;24,658;0,24556;19,03;223,34
18.03. 16:00;0,203;0,12192;14;17,174;0,25816;19,07;235,95
18.03. 17:00;0,064;0,055626;13,9;8,7468;0,067799;15,42;54,101
18.03. 18:00;0,006;0,00594;13,6;-0,15143;0,0057174;13,8;0,16921
18.03. 19:00;0;0;11,2;-9,1093;0;11,33;0
18.03. 20:00;0;0;11;-17,719;0;11,02;0
18.03. 21:00;0;0;8,7;-25,518;0;8,82;0
18.03. 22:00;0;0;8,1;-31,939;0;8,14;0
18.03. 23:00;0;0;9,2;-36,322;0;9,15;0
19.03. 00:00;0;0;9,7;-37,662;0;9,67;0
19.03. 01:00;0;0;10;-36,443;0;9,98;0
19.03. 02:00;0;0;10,2;-32,502;0;10,19;0
19.03. 03:00;0;0;8,5;-26,41;0;8,59;0
19.03. 04:00;0;0;8,2;-18,827;0;8,22;0
19.03. 05:00;0;0;8;-10,335;0;8,01;0
19.03. 06:00;0,001;0,00099;7,7;-1,4122;0,0009529;7,73;0
19.03. 07:00;0,034;0,032918;8;7,529;0,032973;8,6;13,47
19.03. 08:00;0,078;0,07571;7,5;16,081;0,075408;8,97;62,939
19.03. 09:00;0,093;0,091199;7,7;23,786;0,089201;9,44;76,208
19.03. 10:00;0,1;0,098065;7,4;30,093;0,095889;9,31;82,915
19.03. 11:00;0,112;0,10981;7,8;34,37;0,10741;9,9;94,425
19.03. 12:00;0,116;0,11372;8;36,045;0,11125;10,19;98,253
19.03. 13:00;0,159;0,1554;8,8;34,851;0,15287;11,74;137,21
19.03. 14:00;0,151;0,14709;8,3;30,981;0,14554;11,21;130,48
19.03. 15:00;0,069;0,067514;8,2;24,975;0,06625;9,6;54,146
19.03. 16:00;0,064;0,062779;8,4;17,466;0,061376;9,61;49,61
19.03. 17:00;0,066;0,057472;8,2;9,0232;0,069435;9,56;56,872
19.03. 18:00;0,01;0,0099;7,9;0,11875;0,009529;8,16;0,74801
19.03. 19:00;0;0;7,6;-8,8356;0;7,63;0
19.03. 20:00;0;0;7,5;-17,432;0;7,51;0
19.03. 21:00;0;0;7,2;-25,208;0;7,22;0
19.03. 22:00;0;0;6,2;-31,599;0;6,25;0
19.03. 23:00;0;0;5,4;-35,952;0;5,44;0
20.03. 00:00;0;0;5,3;-37,268;0;5,31;0
20.03. 01:00;0;0;5,6;-36,04;0;5,59;0
20.03. 02:00;0;0;6,2;-32,104;0;6,17;0
20.03. 03:00;0;0;6,6;-26,024;0;6,58;0
20.03. 04:00;0;0;6,8;-18,453;0;6,79;0
20.03. 05:00;0;0;7,1;-9,9693;0;7,08;0
20.03. 06:00;0,002;0,00198;7,2;-1,0494;0,0019058;7,23;0
20.03. 07:00;0,031;0,030293;7,5;7,8943;0,029818;8,05;10,827
20.03. 08:00;0,097;0,091991;7,9;16,454;0,095351;9,7;82,363
20.03. 09:00;0,11;0,10744;7,8;24,171;0,1058;9,88;92,793
20.03. 10:00;0,12;0,11769;8,2;30,489;0,11507;10,45;101,76
20.03. 11:00;0,088;0,085965;7,8;34,773;0,084551;9,52;71,652
20.03. 12:00;0,122;0,11964;8,3;36,442;0,11697;10,56;103,52
20.03. 13:00;0,084;0,081981;7,8;35,227;0,080749;9,46;67,978
20.03. 14:00;0,066;0,0643;7,3;31,327;0,063506;8,6;51,811
20.03. 15:00;0,086;0,084357;7,5;25,291;0,082446;9,11;69,68
20.03. 16:00;0,166;0,13193;8,1;17,757;0,18348;11,58;168,25
20.03. 17:00;0,124;0,04041;7,1;9,2989;0,17661;10,51;158,29
20.03. 18:00;0,018;0,01782;5,6;0,38845;0,017152;6,17;3,1227
20.03. 19:00;0;0;5,2;-8,5621;0;5,25;0
20.03. 20:00;0;0;3,5;-17,145;0;3,59;0
20.03. 21:00;0;0;4,7;-24,898;0;4,64;0
20.03. 22:00;0;0;4,2;-31,259;0;4,22;0
20.03. 23:00;0;0;4,9;-35,581;0;4,87;0
21.03. 00:00;0;0;5;-36,874;0;4,99;0
21.03. 01:00;0;0;5,5;-35,637;0;5,47;0
21.03. 02:00;0;0;5,5;-31,706;0;5,5;0
21.03. 03:00;0;0;5,5;-25,637;0;5,5;0
21.03. 04:00;0;0;5,4;-18,078;0;5,4;0
21.03. 05:00;0;0;5,6;-9,6031;0;5,59;0
21.03. 06:00;0,002;0,00198;5,5;-0,68641;0,0019058;5,5;0
21.03. 07:00;0,041;0,039346;6,1;8,2597;0,039926;6,82;20,818
21.03. 08:00;0,102;0,096288;6,8;16,828;0,1005;8,69;87,915
21.03. 09:00;0,178;0,16244;8,1;24,556;0,1796;11,5;163,87
21.03. 10:00;0,106;0,10397;8,3;30,886;0,10161;10,37;88,331
21.03. 11:00;0,085;0,082975;9,5;35,175;0,08169;11,08;68,466
21.03. 12:00;0,088;0,085888;10,1;36,838;0,084581;11,74;71,086
21.03. 13:00;0,076;0,074054;10,8;35,602;0,073109;12,22;60,029
21.03. 14:00;0,092;0,090071;10,9;31,672;0,088277;12,63;74,403
21.03. 15:00;0,102;0,10001;10,7;25,605;0,097817;12,64;83,774
21.03. 16:00;0,079;0,077196;9,8;18,048;0,075944;11,37;62,864
21.03. 17:00;0,034;0,033336;9,1;9,5739;0,032606;9,83;13,055
21.03. 18:00;0,005;0,00495;8,6;0,65765;0,0047645;8,75;0,10636
21.03. 19:00;0;0;6,7;-8,2888;0;6,8;0
21.03. 20:00;0;0;5,2;-16,858;0;5,28;0
21.03. 21:00;0;0;4,8;-24,588;0;4,82;0
21.03. 22:00;0;0;3,4;-30,92;0;3,47;0
21.03. 23:00;0;0;4,1;-35,211;0;4,07;0
22.03. 00:00;0;0;4,3;-36,48;0;4,29;0
22.03. 01:00;0;0;4,5;-35,235;0;4,49;0
22.03. 02:00;0;0;4,5;-31,308;0;4,5;0
22.03. 03:00;0;0;4;-25,251;0;4,03;0
22.03. 04:00;0;0;4,2;-17,703;0;4,19;0
22.03. 05:00;0;0;4,3;-9,2367;0;4,29;0
22.03. 06:00;0,004;0,00396;4,3;-0,32334;0,0038116;4,3;0,057089
22.03. 07:00;0,069;0,057106;4,7;8,6252;0,073668;6,04;61,39
22.03. 08:00;0,184;0,12799;5,3;17,201;0,21514;9,35;201,1
22.03. 09:00;0,281;0,19171;6,3;24,941;0,33183;12,69;314,18
22.03. 10:00;0,435;0,198;7,2;31,283;0,57729;18,37;548,26
22.03. 11:00;0,466;0,25073;7;35,578;0,59618;18,84;564,69
22.03. 12:00;0,37;0,29079;8,4;37,234;0,4089;16,64;383,6
22.03. 13:00;0,306;0,26441;6,4;35,977;0,31978;12,94;299,77
22.03. 14:00;0,227;0,20929;5,4;32,017;0,22721;10,06;211,12
22.03. 15:00;0,163;0,154;8,3;25,919;0,16039;11,4;144,95
22.03. 16:00;0,193;0,13798;6,2;18,337;0,22305;10,63;208,07
22.03. 17:00;0,112;0,062703;5,6;9,8481;0,14044;8,41;125,51
22.03. 18:00;0,017;0,01683;5,1;0,92634;0,016199;5,57;2,7452
22.03. 19:00;0;0;4,5;-8,0158;0;4,55;0
22.03. 20:00;0;0;4,7;-16,571;0;4,69;0
22.03. 21:00;0;0;4,7;-24,277;0;4,7;0
22.03. 22:00;0;0;3,3;-30,58;0;3,37;0
22.03. 23:00;0;0;2,6;-34,84;0;2,64;0
23.03. 00:00;0;0;2,6;-36,087;0;2,6;0
23.03. 01:00;0;0;2,4;-34,833;0;2,41;0
23.03. 02:00;0;0;1,4;-30,91;0;1,45;0
23.03. 03:00;0;0;0,3;-24,864;0;0,36;0
23.03. 04:00;0;0;0,5;-17,328;0;0,49;0
23.03. 05:00;0;0;0,8;-8,8703;0;0,78;0
23.03. 06:00;0,007;0,00693;1,4;0,039672;0,0066703;1,49;0,31315
23.03. 07:00;0,114;0,044811;2,4;8,9905;0,15023;5,05;134,93
23.03. 08:00;0,268;0,065914;4,8;17,574;0,37488;11,77;357,1
23.03. 09:00;0,396;0,10319;6,2;25,325;0,55538;16,91;529,71
23.03. 10:00;0,5;0,13229;6,9;31,679;0,70243;20,66;662,55
23.03. 11:00;0,596;0,12012;7,3;35,98;0,84998;24,06;792,07
23.03. 12:00;0,596;0,15562;7,8;37,629;0,83936;24,52;781,02
23.03. 13:00;0,551;0,18086;8,1;36,35;0,76178;23,34;711,59
23.03. 14:00;0,422;0,22846;7,1;32,36;0,53639;18,04;509,09
23.03. 15:00;0,237;0,19715;6,3;26,232;0,25281;11,65;236,04
23.03. 16:00;0,144;0,12729;7;18,626;0,14782;10,01;133,82
23.03. 17:00;0,113;0,066135;6,5;10,122;0,13813;9,2;123,09
23.03. 18:00;0,011;0,01089;6,4;1,1945;0,010482;6,74;0,95968
23.03. 19:00;0;0;5,9;-7,7431;0;5,94;0
23.03. 20:00;0;0;5,6;-16,284;0;5,62;0
23.03. 21:00;0;0;5,4;-23,967;0;5,41;0
23.03. 22:00;0;0;4,4;-30,24;0;4,45;0
23.03. 23:00;0;0;3,1;-34,469;0;3,17;0
24.03. 00:00;0;0;2,5;-35,694;0;2,53;0
24.03. 01:00;0;0;2;-34,431;0;2,03;0
24.03. 02:00;0;0;1,8;-30,513;0;1,81;0
24.03. 03:00;0;0;1,7;-24,478;0;1,71;0
24.03. 04:00;0;0;1,7;-16,954;0;1,7;0
24.03. 05:00;0;0;2,4;-8,5041;0;2,36;0
24.03. 06:00;0,005;0,00495;2,7;0,40247;0,0047645;2,77;0,11692
24.03. 07:00;0,079;0,063545;3,3;9,3555;0,084465;4,83;72,207
24.03. 08:00;0,219;0,12397;4,3;17,946;0,27118;9,38;256,77
24.03. 09:00;0,392;0,11723;4,8;25,709;0,54063;15,19;518,53
24.03. 10:00;0,454;0,1948;5,3;32,075;0,60257;17,17;574,7
24.03. 11:00;0,501;0,23555;6,4;36,382;0,65523;19,33;620,2
24.03. 12:00;0,505;0,26153;6,7;38,024;0,64717;19,58;611,59
24.03. 13:00;0,413;0,2873;6,2;36,723;0,4814;15,96;456,93
24.03. 14:00;0,407;0,24258;6,6;32,702;0,50124;16,53;476,98
24.03. 15:00;0,351;0,17934;5,5;26,544;0,44915;14,5;429,19
24.03. 16:00;0,252;0,11573;5,6;18,913;0,32736;12,15;310,21
24.03. 17:00;0,126;0,061255;5,6;10,394;0,15879;8,81;142,86
24.03. 18:00;0,017;0,01683;4,5;1,4621;0,016199;5,02;2,7564
24.03. 19:00;0;0;2,9;-7,4707;0;3,01;0
24.03. 20:00;0;0;1,9;-15,997;0;1,96;0
24.03. 21:00;0;0;0,4;-23,657;0;0,48;0
24.03. 22:00;0;0;1,2;-29,9;0;1,16;0
24.03. 23:00;0;0;0;-34,099;0;0,06;0
25.03. 00:00;0;0;-1;-35,301;0;-0,95;0
25.03. 01:00;0;0;-1,1;-34,03;0;-1,09;0
25.03. 02:00;0;0;-1,8;-30,116;0;-1,76;0
25.03. 03:00;0;0;-1,7;-24,092;0;-1,7;0
25.03. 04:00;0;0;-2,1;-16,579;0;-2,08;0
25.03. 05:00;0;0;-2,4;-8,1382;0;-2,38;0
25.03. 06:00;0,011;0,01089;-2,3;0,76491;0,010482;-2,3;1,0271
25.03. 07:00;0,126;0,047185;-0,5;9,7201;0,16161;2,31;147,65
25.03. 08:00;0,285;0,063644;1,2;18,318;0,39275;8,55;379,04
25.03. 09:00;0,438;0,076268;2,9;26,093;0,6163;14,76;592,06
25.03. 10:00;0,54;0,10499;3,9;32,47;0,76114;18,82;721,71
25.03. 11:00;0,624;0,10916;4,1;36,783;0,88482;21,59;831,22
25.03. 12:00;0,65;0,11478;5,5;38,419;0,92214;23,78;859,74
25.03. 13:00;0,627;0,11174;5,7;37,096;0,8887;23,44;829,68
25.03. 14:00;0,557;0,10055;6,2;33,043;0,78736;21,95;738,72
25.03. 15:00;0,446;0,083144;6,1;26,854;0,6267;18,68;594,49
25.03. 16:00;0,307;0,060084;6,2;19,2;0,42605;14,76;404,28
25.03. 17:00;0,149;0,041684;5,7;10,666;0,19712;9,72;178,96
25.03. 18:00;0,025;0,02475;4,6;1,7291;0,023822;5,31;6,6785
25.03. 19:00;0;0;3,3;-7,1987;0;3,4;0
25.03. 20:00;0;0;2,3;-15,71;0;2,36;0
25.03. 21:00;0;0;1,4;-23,347;0;1,45;0
25.03. 22:00;0;0;1,4;-29,56;0;1,4;0
25.03. 23:00;0;0;1,8;-33,729;0;1,78;0
26.03. 00:00;0;0;2,6;-34,909;0;2,56;0
26.03. 01:00;0;0;2,9;-33,629;0;2,88;0
26.03. 02:00;0;0;3,1;-29,719;0;3,09;0
26.03. 03:00;0;0;2,4;-23,706;0;2,43;0
26.03. 04:00;0;0;2;-16,205;0;2,02;0
26.03. 05:00;0;0;0,9;-7,7727;0;0,96;0
26.03. 06:00;0,016;0,01584;-0,6;1,1268;0,015246;-0,23;2,485
26.03. 07:00;0,135;0,044822;0,1;10,084;0,17247;3,18;157,91
26.03. 08:00;0,279;0,079474;3,8;18,69;0,37581;10,75;359,55
26.03. 09:00;0,282;0,20587;4,2;26,475;0,31858;10,52;302,82
26.03. 10:00;0,214;0,20118;3,8;32,865;0,21081;8,11;196,22
26.03. 11:00;0,356;0,28706;4,9;37,184;0,3848;12,31;365,06
26.03. 12:00;0,552;0,23204;5,6;38,812;0,73022;19,76;690,01
26.03. 13:00;0,49;0,26287;6,1;37,467;0,61744;18,46;585,44
26.03. 14:00;0,432;0,23744;5,9;33,383;0,5399;16,72;514,52
26.03. 15:00;0,404;0,13783;6,1;27,163;0,54384;16,86;518,8
26.03. 16:00;0,301;0,072666;5,7;19,486;0,41023;13,9;389,97
26.03. 17:00;0,15;0,046803;4,9;10,937;0,19394;8,86;176,57
26.03. 18:00;0,022;0,02178;4,1;1,9955;0,020964;4,74;5,0134
26.03. 19:00;0;0;3,3;-6,927;0;3,37;0
26.03. 20:00;0;0;2,7;-15,424;0;2,73;0
26.03. 21:00;0;0;2,3;-23,037;0;2,32;0
26.03. 22:00;0;0;2,8;-29,22;0;2,78;0
26.03. 23:00;0;0;2;-33,36;0;2,04;0
27.03. 00:00;0;0;0;-34,518;0;0,1;0
27.03. 01:00;0;0;1,4;-33,229;0;1,33;0
27.03. 02:00;0;0;0,9;-29,323;0;0,92;0
27.03. 03:00;0;0;1,1;-23,321;0;1,09;0
27.03. 04:00;0;0;2,1;-15,832;0;2,05;0
27.03. 05:00;0;0;2,1;-7,4078;0;2,1;0
27.03. 06:00;0,01;0,0099;1,9;1,4881;0,009529;2,09;0,78563
27.03. 07:00;0,089;0,071828;2,9;10,447;0,093321;4,58;81,291
27.03. 08:00;0,268;0,10152;3,9;19,06;0,34882;10,42;333,18
27.03. 09:00;0,329;0,19803;4,3;26,857;0,39706;12,07;380,05
27.03. 10:00;0,393;0,25494;4,5;33,259;0,46528;13,65;445,23
27.03. 11:00;0,48;0,27107;5,3;37,584;0,59455;16,96;566,14
27.03. 12:00;0,518;0,26998;5,9;39,205;0,65517;18,85;620,47
27.03. 13:00;0,533;0,23162;5,8;37,837;0,69787;19,66;659,78
27.03. 14:00;0,475;0,20673;5,5;33,722;0,62;17,92;589,76
27.03. 15:00;0,411;0,13657;5,1;27,472;0,55122;16,11;527,22
27.03. 16:00;0,298;0,082975;4,9;19,77;0,39927;12,9;380,52
27.03. 17:00;0,156;0,045803;4,8;11,207;0,19955;8,82;182,13
27.03. 18:00;0,025;0,02475;4,2;2,2613;0,023822;4,88;6,6992
27.03. 19:00;0;0;2,5;-6,6557;0;2,62;0
27.03. 20:00;0;0;1,1;-15,138;0;1,18;0
27.03. 21:00;0;0;0,6;-22,727;0;0,63;0
27.03. 22:00;0;0;-0,5;-28,881;0;-0,44;0
27.03. 23:00;0;0;-1,1;-32,99;0;-1,07;0
28.03. 00:00;0;0;-1,5;-34,128;0;-1,48;0
28.03. 01:00;0;0;-1,6;-32,83;0;-1,59;0
28.03. 02:00;0;0;-2,2;-28,928;0;-2,17;0
28.03. 03:00;0;0;-1,9;-22,937;0;-1,91;0
28.03. 04:00;0;0;-2,4;-15,459;0;-2,38;0
28.03. 05:00;0;0;-1;-7,0437;0;-1,07;0
28.03. 06:00;0,01;0,0099;-0,9;1,8486;0,009529;-0,73;0,80241
28.03. 07:00;0,113;0,074594;0,4;10,81;0,12606;2,65;114,27
28.03. 08:00;0,249;0,12775;3,7;19,43;0,30679;9,36;292,45
28.03. 09:00;0,426;0,11223;5,7;27,238;0,57723;16,73;551,08
28.03. 10:00;0,537;0,13244;6,1;33,652;0,73662;20,55;694,78
28.03. 11:00;0,547;0,21936;6,5;37,983;0,72155;20,86;679,5
28.03. 12:00;0,515;0,2781;7,1;39,597;0,64351;19,96;606,9
28.03. 13:00;0,407;0,29971;7,6;38,206;0,45796;16,87;431,74
28.03. 14:00;0,387;0,26502;8,4;34,06;0,44781;17,27;422,15
28.03. 15:00;0,342;0,20453;8,2;27,778;0,41192;16,4;389,07
28.03. 16:00;0,271;0,1205;7,8;20,053;0,34313;14,63;323,09
28.03. 17:00;0,133;0,074257;7,7;11,477;0,15526;10,89;138,89
28.03. 18:00;0,019;0,01881;7,1;2,5265;0,018105;7,63;3,502
28.03. 19:00;0;0;7;-6,3849;0;7,03;0
28.03. 20:00;0;0;7,7;-14,851;0;7,67;0
28.03. 21:00;0;0;6,6;-22,418;0;6,65;0
28.03. 22:00;0;0;6,5;-28,542;0;6,51;0
28.03. 23:00;0;0;6,2;-32,622;0;6,22;0
29.03. 00:00;0;0;6,5;-33,738;0;6,49;0
29.03. 01:00;0;0;6,3;-32,432;0;6,31;0
29.03. 02:00;0;0;6,3;-28,534;0;6,3;0
29.03. 03:00;0;0;6,2;-22,553;0;6,2;0
29.03. 04:00;0;0;6,2;-15,087;0;6,2;0
29.03. 05:00;0;0;6;-6,6804;0;6,01;0
29.03. 06:00;0,006;0,00594;6;2,2082;0,0057174;6;0,19144
29.03. 07:00;0,05;0,04863;6;11,171;0,048002;6,9;31,23
29.03. 08:00;0,08;0,078379;6,2;19,799;0,076644;7,68;64,409
29.03. 09:00;0,095;0,09319;6,3;27,618;0,090974;8,08;78,362
29.03. 10:00;0,097;0,094943;6,9;34,044;0,092999;8,71;80,215
29.03. 11:00;0,145;0,14224;7,8;38,381;0,1389;10,46;124,39
29.03. 12:00;0,215;0,20774;8,6;39,987;0,20793;12,6;190,09
29.03. 13:00;0,276;0,25358;9,5;38,574;0,27547;14,84;253,88
29.03. 14:00;0,324;0,26388;10,7;34,396;0,34598;17,42;321,09
29.03. 15:00;0,27;0,2158;10,8;28,084;0,29006;16,59;268,16
29.03. 16:00;0,162;0,14178;10,5;20,335;0,16519;13,91;148,66
29.03. 17:00;0,085;0,075305;10,2;11,745;0,085127;11,98;71,365
29.03. 18:00;0,013;0,01287;9,9;2,791;0,012388;10,24;1,4027
29.03. 19:00;0;0;8,9;-6,1144;0;8,97;0
29.03. 20:00;0;0;8,8;-14,566;0;8,81;0
29.03. 21:00;0;0;8,5;-22,108;0;8,52;0
29.03. 22:00;0;0;8,1;-28,203;0;8,12;0
29.03. 23:00;0;0;8;-32,254;0;8,01;0
30.03. 00:00;0;0;7,5;-33,349;0;7,53;0
30.03. 01:00;0;0;5,3;-32,035;0;5,41;0
30.03. 02:00;0;0;5,2;-28,141;0;5,21;0
30.03. 03:00;0;0;4,5;-22,171;0;4,54;0
30.03. 04:00;0;0;4,6;-14,716;0;4,6;0
30.03. 05:00;0;0;3,9;-6,3181;0;3,94;0
30.03. 06:00;0,009;0,00891;4,4;2,5667;0,0085761;4,54;0,59081
30.03. 07:00;0,077;0,070083;5,3;11,531;0,075966;6,68;63,868
30.03. 08:00;0,175;0,14671;6,4;20,166;0,18183;9,82;167,32
30.03. 09:00;0,362;0,19533;8,9;27,997;0,44333;17,28;419,03
30.03. 10:00;0,543;0,14255;11,7;34,435;0,73448;25,85;680,5
30.03. 11:00;0,614;0,1564;12,7;38,778;0,8361;29,19;765,44
30.03. 12:00;0,495;0,30026;13,2;40,377;0,59523;25,26;550,34
30.03. 13:00;0,255;0,2393;12,9;38,941;0,25105;18,25;227,4
30.03. 14:00;0,231;0,21613;13,3;34,731;0,22772;17,83;205,74
30.03. 15:00;0,165;0,1579;12,7;28,388;0,16033;15,97;142,41
30.03. 16:00;0,162;0,14264;12,1;20,616;0,16435;15,38;147,04
30.03. 17:00;0,153;0,067227;11,6;12,012;0,18146;15,09;161,48
30.03. 18:00;0,026;0,02574;8,8;3,0549;0,024775;9,59;7,0728
30.03. 19:00;0;0;7,3;-5,8444;0;7,42;0
30.03. 20:00;0;0;6,2;-14,28;0;6,26;0
30.03. 21:00;0;0;5,3;-21,799;0;5,35;0
30.03. 22:00;0;0;4,2;-27,865;0;4,26;0
30.03. 23:00;0;0;3,6;-31,886;0;3,63;0
31.03. 00:00;0;0;3,7;-32,962;0;3,7;0
31.03. 01:00;0;0;3,8;-31,639;0;3,8;0
31.03. 02:00;0;0;3,5;-27,749;0;3,52;0
31.03. 03:00;0;0;1,5;-21,79;0;1,6;0
31.03. 04:00;0;0;1,6;-14,347;0;1,6;0
31.03. 05:00;0;0;2,1;-5,9569;0;2,07;0
31.03. 06:00;0,018;0,01782;2,6;2,924;0,017152;2,9;3,1988
31.03. 07:00;0,15;0,067557;4,7;11,89;0,17455;7,78;158,74
31.03. 08:00;0,308;0,088731;6,7;20,532;0,39761;14,15;377,21
31.03. 09:00;0,448;0,11231;8,9;28,375;0,59749;20,4;563,58
31.03. 10:00;0,569;0,12112;11,1;34,824;0,77343;26,18;715,41
31.03. 11:00;0,652;0,12329;13;39,174;0,89495;30,61;815,13
31.03. 12:00;0,675;0,13019;14;40,765;0,92751;32,42;839,36
31.03. 13:00;0,446;0,30466;14,5;39,306;0,51343;25,1;473,02
31.03. 14:00;0,58;0,11481;14,7;35,064;0,79076;30,17;721,32
31.03. 15:00;0,468;0,097197;14,9;28,691;0,62973;27,52;579,83
31.03. 16:00;0,319;0,084406;15,1;20,896;0,41451;23,45;381,49
31.03. 17:00;0,164;0,061033;14,7;12,279;0,19544;18,69;172,47
31.03. 18:00;0,026;0,02574;13,1;3,318;0,024775;13,85;6,8517
31.03. 19:00;0;0;11,6;-5,5749;0;11,71;0
31.03. 20:00;0;0;11;-13,995;0;11,04;0
31.03. 21:00;0;0;10,5;-21,49;0;10,53;0
31.03. 22:00;0;0;8,9;-27,527;0;8,98;0
31.03. 23:00;0;0;7,5;-31,52;0;7,58;0
01.04. 00:00;0;0;7,6;-32,575;0;7,6;0
01.04. 01:00;0;0;7,4;-31,245;0;7,41;0
01.04. 02:00;0;0;6,7;-27,359;0;6,74;0
01.04. 03:00;0;0;5,7;-21,41;0;5,75;0
