Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
04.01. 15:00;0,008;0,0077897;0,3;4,8355;0,0081694;0,44;0,45757
04.01. 16:00;0;0;2,6;-1,6954;0;2,49;0
04.01. 17:00;0;0;3,3;-9,3556;0;3,26;0
04.01. 18:00;0;0;3,7;-17,793;0;3,68;0
04.01. 19:00;0;0;3,3;-26,671;0;3,32;0
04.01. 20:00;0;0;3,3;-35,64;0;3,3;0
04.01. 21:00;0;0;3,8;-44,26;0;3,77;0
04.01. 22:00;0;0;2,5;-51,877;0;2,56;0
04.01. 23:00;0;0;1,2;-57,454;0;1,27;0
05.01. 00:00;0;0;0,6;-59,54;0;0,63;0
05.01. 01:00;0;0;0,5;-57,618;0;0,51;0
05.01. 02:00;0;0;1,1;-52,23;0;1,07;0
05.01. 03:00;0;0;0,4;-44,717;0;0,43;0
05.01. 04:00;0;0;-0,5;-36,144;0;-0,45;0
05.01. 05:00;0;0;-1;-27,184;0;-0,97;0
05.01. 06:00;0;0;-1,1;-18,287;0;-1,09;0
05.01. 07:00;0;0;-1,2;-9,807;0;-1,19;0
05.01. 08:00;0;0;-1,9;-2,0805;0;-1,86;0
05.01. 09:00;0,018;0,01782;-1,9;4,5411;0,017152;-1,9;3,3118
05.01. 10:00;0,037;0,036248;-1,9;9,6852;0,036272;-1,22;16,716
05.01. 11:00;0,076;0,072121;-1,6;12,992;0,079688;-0,08;64,817
05.01. 12:00;0,065;0,063368;-1,5;14,184;0,06398;-0,23;52,729
05.01. 13:00;0,075;0,071484;-1,4;13,153;0,077821;0,12;63,498
05.01. 14:00;0,053;0,050773;-1,3;9,9934;0,055213;-0,19;35,149
05.01. 15:00;0,026;0,024571;-1;4,972;0,03057;-0,39;7,257
05.01. 16:00;0,001;0,00099;-0,9;-1,5544;0,0009529;-0,86;0
05.01. 17:00;0;0;-0,7;-9,2123;0;-0,71;0
05.01. 18:00;0;0;-0,5;-17,648;0;-0,51;0
05.01. 19:00;0;0;-0,3;-26,526;0;-0,31;0
05.01. 20:00;0;0;-0,1;-35,495;0;-0,11;0
05.01. 21:00;0;0;0,1;-44,116;0;0,09;0
05.01. 22:00;0;0;0,4;-51,737;0;0,38;0
05.01. 23:00;0;0;0,5;-57,325;0;0,49;0
06.01. 00:00;0;0;0,6;-59,428;0;0,59;0
06.01. 01:00;0;0;0,8;-57,54;0;0,79;0
06.01. 02:00;0;0;1;-52,182;0;0,99;0
06.01. 03:00;0;0;1,2;-44,688;0;1,19;0
06.01. 04:00;0;0;1,4;-36,124;0;1,39;0
06.01. 05:00;0;0;1,5;-27,166;0;1,49;0
06.01. 06:00;0;0;1,5;-18,265;0;1,5;0
06.01. 07:00;0;0;1,8;-9,7776;0;1,78;0
06.01. 08:00;0;0;2,1;-2,0394;0;2,08;0
06.01. 09:00;0,009;0,0087851;2,5;4,5972;0,0091299;2,65;0,61215
06.01. 10:00;0,016;0,015561;3,1;9,7587;0,015896;3,38;2,4236
06.01. 11:00;0,026;0,02533;3,8;13,084;0,025562;4,26;7,6089
06.01. 12:00;0,024;0,023337;4,2;14,294;0,023621;4,2;6,3553
06.01. 13:00;0,023;0,022372;4,8;13,277;0,022662;5,2;5,7412
06.01. 14:00;0,02;0,019492;5,2;10,129;0,01977;5,2;4,0077
06.01. 15:00;0,009;0,0087694;5,4;5,1146;0,0091368;5,56;0,59084
06.01. 16:00;0;0;5,9;-1,4077;0;5,88;0
06.01. 17:00;0;0;6,4;-9,0636;0;6,37;0
06.01. 18:00;0;0;6,7;-17,499;0;6,68;0
06.01. 19:00;0;0;7,1;-26,377;0;7,08;0
06.01. 20:00;0;0;6,8;-35,346;0;6,81;0
06.01. 21:00;0;0;6;-43,967;0;6,04;0
06.01. 22:00;0;0;5,7;-51,591;0;5,72;0
06.01. 23:00;0;0;5,8;-57,19;0;5,8;0
07.01. 00:00;0;0;5,9;-59,309;0;5,89;0
07.01. 01:00;0;0;6;-57,454;0;5,99;0
07.01. 02:00;0;0;5,6;-52,126;0;5,62;0
07.01. 03:00;0;0;5;-44,652;0;5,03;0
07.01. 04:00;0;0;4,9;-36,097;0;4,91;0
07.01. 05:00;0;0;4,4;-27,141;0;4,43;0
07.01. 06:00;0;0;4,4;-18,237;0;4,4;0
07.01. 07:00;0;0;3,4;-9,7413;0;3,45;0
07.01. 08:00;0;0;3,4;-1,9913;0;3,4;0
07.01. 09:00;0,029;0,026159;3,3;4,6605;0,041403;4,08;8,286
07.01. 10:00;0,046;0,044641;3,5;9,8396;0,046274;4,4;25,595
07.01. 11:00;0,071;0,068206;3,9;13,183;0,072346;5,28;58,075
07.01. 12:00;0,047;0,0461;4,3;14,411;0,045611;5,21;27,658
07.01. 13:00;0,07;0,067502;4,5;13,409;0,070673;5,86;56,786
07.01. 14:00;0,074;0,065978;4,6;10,271;0,091445;6,38;52,639
07.01. 15:00;0,026;0,024835;4,9;5,2634;0,028956;5,52;7,0661
07.01. 16:00;0,001;0,00099;4,9;-1,2553;0,0009529;4,95;0
07.01. 17:00;0;0;4,8;-8,9098;0;4,81;0
07.01. 18:00;0;0;4,9;-17,345;0;4,9;0
07.01. 19:00;0;0;5;-26,223;0;5;0
07.01. 20:00;0;0;5;-35,192;0;5;0
07.01. 21:00;0;0;5;-43,813;0;5;0
07.01. 22:00;0;0;4,9;-51,439;0;4,9;0
07.01. 23:00;0;0;5,1;-57,048;0;5,09;0
08.01. 00:00;0;0;5,7;-59,182;0;5,67;0
08.01. 01:00;0;0;5,8;-57,361;0;5,79;0
08.01. 02:00;0;0;5,7;-52,063;0;5,7;0
08.01. 03:00;0;0;5,7;-44,608;0;5,7;0
08.01. 04:00;0;0;5,1;-36,063;0;5,13;0
08.01. 05:00;0;0;3,8;-27,109;0;3,87;0
08.01. 06:00;0;0;2,9;-18,202;0;2,95;0
08.01. 07:00;0;0;2,5;-9,6983;0;2,52;0
08.01. 08:00;0;0;2,5;-1,9362;0;2,5;0
08.01. 09:00;0,042;0,030416;2,8;4,7309;0,1017;4,67;7,0237
08.01. 10:00;0,114;0,066216;3,6;9,9279;0,24732;8,28;23,212
08.01. 11:00;0,178;0,07663;4,7;13,29;0,39785;12,35;217,23
08.01. 12:00;0,149;0,10943;4,8;14,535;0,23054;9,52;153,41
08.01. 13:00;0,173;0,086616;5,4;13,548;0,36176;12,4;204,02
08.01. 14:00;0,124;0,067733;5,2;10,42;0,27452;10,7;23,236
08.01. 15:00;0,035;0,031406;5;5,4182;0,048728;6,2;12,081
08.01. 16:00;0;0;4,5;-1,0975;0;4,59;0
08.01. 17:00;0;0;4,5;-8,7509;0;4,5;0
08.01. 18:00;0;0;4,5;-17,185;0;4,5;0
08.01. 19:00;0;0;4,2;-26,064;0;4,22;0
08.01. 20:00;0;0;4,2;-35,033;0;4,2;0
08.01. 21:00;0;0;4,2;-43,654;0;4,2;0
08.01. 22:00;0;0;4;-51,282;0;4,01;0
08.01. 23:00;0;0;3,8;-56,899;0;3,81;0
09.01. 00:00;0;0;3,8;-59,048;0;3,8;0
09.01. 01:00;0;0;4,1;-57,259;0;4,08;0
09.01. 02:00;0;0;4,3;-51,992;0;4,29;0
09.01. 03:00;0;0;4,4;-44,557;0;4,39;0
09.01. 04:00;0;0;4,5;-36,022;0;4,49;0
09.01. 05:00;0;0;4,7;-27,071;0;4,69;0
09.01. 06:00;0;0;4,7;-18,16;0;4,7;0
09.01. 07:00;0;0;4,4;-9,6484;0;4,42;0
09.01. 08:00;0;0;4,5;-1,8741;0;4,5;0
09.01. 09:00;0,037;0,030252;5,2;4,8086;0,069576;6,46;11,075
09.01. 10:00;0,123;0,061486;5,8;10,023;0,29005;11,25;17,6
09.01. 11:00;0,077;0,073331;6,1;13,404;0,079861;7,86;63,585
09.01. 12:00;0,074;0,071674;6,8;14,667;0,073758;8,24;59,594
