month,day,hour,price,consumption,prediction,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,date
10,17,18,0.146775,60897.125,58970.9375,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-1.0,-1.8369701987210297e-16,2020-10-17 18:00:00
10,17,19,0.1562325,61215.5,60047.1875,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-0.9659258262890684,0.2588190451025203,2020-10-17 19:00:00
10,17,20,0.13463749999999997,58162.75,57464.625,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-0.866025403784439,0.49999999999999933,2020-10-17 20:00:00
10,17,21,0.1048625,54919.1875,54605.3125,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-0.7071067811865477,0.7071067811865474,2020-10-17 21:00:00
10,17,22,0.10452749999999997,52156.0625,52291.1875,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-0.5000000000000004,0.8660254037844384,2020-10-17 22:00:00
10,17,23,0.0861275,48948.875,49083.875,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-0.25881904510252157,0.9659258262890681,2020-10-17 23:00:00
10,18,0,0.080135,46237.375,46526.9375,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.0,1.0,2020-10-18 00:00:00
10,18,1,0.079,44672.375,44999.25,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.25881904510252074,0.9659258262890683,2020-10-18 01:00:00
10,18,2,0.07561,43777.9375,44161.625,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.49999999999999994,0.8660254037844387,2020-10-18 02:00:00
10,18,3,0.0758625,44015.375,44374.625,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.7071067811865475,0.7071067811865476,2020-10-18 03:00:00
10,18,4,0.07995499999999997,45219.5625,45537.875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,2020-10-18 04:00:00
10,18,5,0.08987999999999997,48049.875,48298.0625,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.9659258262890682,0.25881904510252096,2020-10-18 05:00:00
10,18,6,0.1185075,54287.5625,53871.1875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,2020-10-18 06:00:00
10,18,7,0.14731249999999999,59397.5625,58378.1875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.9659258262890683,-0.25881904510252063,2020-10-18 07:00:00
10,18,8,0.15589,61882.375,60719.9375,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.8660254037844387,-0.49999999999999983,2020-10-18 08:00:00
10,18,9,0.14174,63433.125,62080.6875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.7071067811865476,-0.7071067811865475,2020-10-18 09:00:00
10,18,10,0.12095749999999997,64741.1875,63594.0,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.5000000000000003,-0.8660254037844385,2020-10-18 10:00:00
10,18,11,0.11108499999999998,65728.0625,65140.6875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,0.258819045102521,-0.9659258262890682,2020-10-18 11:00:00
10,18,12,0.10136999999999999,65460.6875,64818.875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,1.2246467991473532e-16,-1.0,2020-10-18 12:00:00
10,18,13,0.093615,64002.8125,63624.75,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.25881904510252035,-0.9659258262890684,2020-10-18 13:00:00
10,18,14,0.093865,62045.5625,62243.875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.4999999999999998,-0.8660254037844388,2020-10-18 14:00:00
10,18,15,0.10163749999999995,61158.25,61085.25,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.7071067811865471,-0.7071067811865479,2020-10-18 15:00:00
10,18,16,0.1077025,60481.25,60109.6875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.8660254037844384,-0.5000000000000004,2020-10-18 16:00:00
10,18,17,0.13157999999999997,61235.0,60374.25,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.9659258262890681,-0.2588190451025215,2020-10-18 17:00:00
10,18,18,0.14607499999999998,63629.6875,61881.8125,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-1.0,-1.8369701987210297e-16,2020-10-18 18:00:00
10,18,19,0.150555,64060.9375,62582.0625,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.9659258262890684,0.2588190451025203,2020-10-18 19:00:00
10,18,20,0.12381249999999996,60601.8125,59953.5625,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.866025403784439,0.49999999999999933,2020-10-18 20:00:00
10,18,21,0.11186249999999998,57312.3125,56914.4375,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.7071067811865477,0.7071067811865474,2020-10-18 21:00:00
10,18,22,0.10277,54212.625,54507.8125,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.5000000000000004,0.8660254037844384,2020-10-18 22:00:00
10,18,23,0.0920675,50268.9375,50996.875,-0.866025403784439,0.49999999999999933,-0.4853019625310808,-0.8743466161445822,-0.25881904510252157,0.9659258262890681,2020-10-18 23:00:00
10,19,0,0.07661749999999998,47445.375,47287.75,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.0,1.0,2020-10-19 00:00:00
10,19,1,0.07343749999999998,45811.0625,45669.625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.25881904510252074,0.9659258262890683,2020-10-19 01:00:00
10,19,2,0.0707225,45104.0625,44822.6875,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.49999999999999994,0.8660254037844387,2020-10-19 02:00:00
10,19,3,0.06867999999999998,45196.1875,45025.5,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.7071067811865475,0.7071067811865476,2020-10-19 03:00:00
10,19,4,0.0720475,46372.5,46151.0,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.8660254037844386,0.5000000000000001,2020-10-19 04:00:00
10,19,5,0.08091749999999998,49355.0,49072.875,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.9659258262890682,0.25881904510252096,2020-10-19 05:00:00
