step,price,amount,trade_type,reward
23,-0.8843877911567688,-48.3287353515625,sell,13.465352243652342
50,0.9892756938934326,54.050048828125,buy,11.886686738281245
52,-0.18603515625,-156.7872314453125,sell,32.7387417980957
169,-0.11102348566055298,-2.2364501953125,sell,0.746996729736328
170,0.5024397373199463,165.44598388671875,buy,50.695958382568364
171,-0.24570095539093018,-451.95709228515625,sell,136.66278556518554
221,0.28056800365448,474.40264892578125,buy,127.3391590246582
234,-0.9905557632446289,-381.13604736328125,sell,157.76745544555664
268,0.3876187801361084,497.4989013671875,buy,137.7972457006836
269,-0.8081955313682556,-144.6796875,sell,40.84307578125
272,-0.9102649092674255,-392.6166076660156,sell,196.190518850708
286,0.36981403827667236,488.55963134765625,buy,172.8475119744873
287,-0.9845020174980164,-359.185791015625,sell,115.30941448974609
288,0.30651748180389404,492.1025390625,buy,139.3043867578125
293,0.3320631980895996,180.029541015625,buy,50.446077687988264
296,0.1496824026107788,-454.8193359375,sell,225.12192670898438
297,0.5925136804580688,249.03204345703125,buy,134.4748131463623
298,-0.659822404384613,-493.4991149902344,sell,281.15631579223634
313,0.8050304651260376,488.71343994140625,buy,146.61403198242186
314,-0.4307323694229126,-275.1136779785156,sell,79.98655073547363
315,0.7919449806213379,366.134521484375,buy,102.31995337402343
316,-0.45947206020355225,-243.61614990234375,sell,65.82264754211425
317,0.8558127880096436,87.4161376953125,buy,23.964259987792968
318,0.5940954685211182,0.48828125,buy,0.1414208984375
319,0.3727051019668579,63.319091796875,buy,21.321437780761716
320,-0.4057598114013672,-148.022705078125,sell,64.05534539550781
321,-0.45277613401412964,-153.90252685546875,sell,75.41685523498533
322,0.742915153503418,369.56683349609375,buy,180.96209568969726
323,-0.9874001741409302,-499.86962890625,sell,237.21313239746095
335,0.920466423034668,493.784423828125,buy,166.05476388916014
336,-0.5737655162811279,-278.63812255859375,sell,85.2799837902832
337,0.3677787780761719,264.179931640625,buy,78.27651374511719
338,0.22536885738372803,-36.14947509765625,sell,10.415386765136718
339,0.19715642929077148,-137.10211181640625,sell,38.414640709838864
340,0.6040441989898682,113.96484375,buy,30.808116210937488
341,0.2581977844238281,-205.05523681640625,sell,57.93835716247559
342,0.6465506553649902,331.35858154296875,buy,98.19811564025879
343,0.20339393615722656,-86.4814453125,sell,29.793722724609374
344,-0.3762049674987793,-324.48712158203125,sell,148.92011957885742
