step,price,amount,trade_type,reward
13,-0.055807650089263916,-433.8107604980469,sell,175.242194810791
26,0.4326232671737671,431.4765625,buy,101.655878125
32,0.9856319427490234,38.39776611328125,buy,9.71655471496582
42,-0.1746126413345337,-111.15982055664062,sell,39.87636242828369
46,-0.5094819068908691,-264.15411376953125,sell,76.5782775817871
76,0.24554848670959473,376.1778564453125,buy,68.34399295898437
85,-0.037148892879486084,-379.31549072265625,sell,153.58863534851073
90,0.9692239761352539,261.69635009765625,buy,116.44964186645508
93,-0.45270246267318726,-316.86846923828125,sell,124.30750048217773
104,0.9999860525131226,182.9010009765625,buy,83.20715237426758
107,0.9999986886978149,155.78594970703125,buy,70.60219240722657
118,-0.5649685859680176,-348.08392333984375,sell,111.03877154541016
119,0.927276611328125,244.21221923828125,buy,74.479842623291
125,0.8194119930267334,186.25701904296875,buy,42.87264064331055
126,-0.6403123140335083,-356.4567565917969,sell,92.46488265991208
134,0.9999808073043823,130.92791748046875,buy,42.30935653381348
153,0.6225936412811279,144.3326416015625,buy,64.57875383178711
167,-0.7319375872612,-286.17205810546875,sell,93.95314839660644
174,0.7900822162628174,222.17742919921875,buy,70.57688215942383
178,-0.7629624009132385,-224.56573486328125,sell,106.60135433959961
183,0.7459964752197266,371.76263427734375,buy,177.12258947509764
184,-0.224412202835083,-223.59530639648438,sell,105.96405165435792
188,0.1269686222076416,-109.19058227539062,sell,49.30063980316161
193,0.38927292823791504,435.99676513671875,buy,136.24026916992187
194,-0.9616119861602783,-468.201171875,sell,143.26955859375
195,-0.18787139654159546,-66.439208984375,sell,19.319857580566406
200,0.6709100008010864,199.7288818359375,buy,62.63098276611326
201,0.035778045654296875,-160.4002685546875,sell,55.52094895751953
239,0.8462787866592407,171.32568359375,buy,55.48382263183594
241,0.5427545309066772,288.04376220703125,buy,80.70410129516601
244,-0.47406184673309326,-360.0213623046875,sell,97.13016333618162
250,-0.38463079929351807,-92.0423583984375,sell,47.308851793212895
253,0.43635237216949463,-42.50396728515625,sell,20.824818771362306
257,0.6130310297012329,390.65887451171875,buy,218.19860776977535
264,-0.9589305520057678,-403.7009582519531,sell,126.43914012451171
324,0.5275614261627197,401.76092529296875,buy,181.08168424804688
342,-0.9508743286132812,-486.40460205078125,sell,144.14600381774903
376,0.3072904348373413,486.8966064453125,buy,138.03518792724608
378,-0.4985542297363281,-176.9305419921875,sell,59.34604239501953
395,0.27378690242767334,334.46014404296875,buy,72.94241281433105
397,-0.05994772911071777,-13.869720458984375,sell,2.5769940612792968
398,-0.3892173767089844,-171.61740112304688,sell,38.51609333404541
400,-0.6017339825630188,-37.48748779296875,sell,8.991748822021483
401,-0.5742800235748291,-45.8353271484375,sell,10.705757362060547
403,-0.6131267547607422,-106.586669921875,sell,23.51834871826172
423,-0.8178602457046509,-112.22476196289062,sell,27.99222237640381
432,0.17261624336242676,417.1668701171875,buy,50.08505442626953
433,-0.9821552634239197,-474.9085693359375,sell,51.38035811645508
447,0.2851145267486572,428.30682373046875,buy,97.73105103881835
448,-0.9998779892921448,-499.9672546386719,sell,112.49763196624755
457,0.24492454528808594,412.9945068359375,buy,75.21042963989258
